gb-eng;Liverpool FC;2345
gb-eng;Arsenal FC;2307
gb-eng;Manchester City;2220
gb-eng;Chelsea FC;2197
gb-eng;Tottenham Hotspur;2113
gb-eng;Newcastle United;2107
gb-eng;Manchester United;2100
gb-eng;Aston Villa;2090
gb-eng;Fulham FC;2034
gb-eng;Brighton;2028
es;Real Madryt;2298
es;FC Barcelona;2238
es;Atletico Madryt;2204
es;Athletic Bilbao;2169
es;Real Sociedad;2054
es;Villarreal FC;2031
es;Girona FC;2001
es;Real Betis;1998
es;Sevilla FC;1957
de;Bayer Leverkusen;2261
de;Bayern Monachium;2235
de;Borussia Dortmund;2136
de;RB Leipzig;2074
de;VfB Stuttgart;2070
de;Eintracht Frankfurt;2026
de;1. FSV Mainz 05;2005
de;Werder Brema;1983
de;VfL Wolfsburg;1981
it;Inter Mediolan;2300
it;Atalanta;2217
it;Juventus;2151
it;Lazio Rzym;2116
it;AC Milan;2111
it;SSC Napoli;2085
it;ACF Fiorentina;2058
it;Bologna FC;2038
it;AS Roma;1991
fr;PSG;2214
fr;Lille OSC;2130
fr;AS Monaco;2064
fr;Olympique Marseille;2052
fr;Olympique Lyonnais;2045
fr;Stade Brestois;2006
fr;RC Lens;1994
fr;OGC Nice;1933
al;FK Partizani;1496
al;Egnatia Rrogozhine;1440
al;FK Vilaznia;1416
ad;Inter Club d'Escaldes;1083
ad;Atletic d'Escaldes;999
ad;UE Santa Coloma;996
am;Pyunik FC;1497
am;FC Noah;1497
am;FC Ararat-Armenia;1448
at;Sturm Graz;1926
at;RB Salzburg;1869
at;Rapid Wien;1806
at;Austria Wien;1760
az;Qarabag FK;1813
az;Zira FK;1582
az;Sabah FK;1570
by;Dynamo Minsk;1665
by;Neman Grodno;1655
by;Torpedo Zhodino;1602
be;Club Brugge;2038
be;RSC Anderlecht;1989
be;Union Saint-Gilloise;1965
be;KRC Genk;1901
be;KAA Gent;1855
ba;Zrinjski Mostar;1749
ba;Borac Banja Luka;1673
ba;FK Sarajevo;1595
bg;Ludogorets Razgrad;1904
bg;Cherno More Varna;1790
bg;Levski Sofia;1772
bg;CSKA Sofia;1711
bg;Botev Plovdiv;1691
hr;Dynamo Zagrzeb;1889
hr;HNK Rijeka;1802
hr;Hajduk Split;1798
hr;NK Osijek;1736
cy;Pafos FC;1741
cy;Aris Limassol;1717
cy;APOEL Nikozja;1708
cy;AEK Larnaka;1708
cy;Omonia Nikozja;1678
cz;Slavia Praga;2044
cz;Viktoria Pilzno;1977
cz;Sparta Praga;1963
cz;Banik Ostrava;1819
cz;FK Mlada Boleslav;1747
dk;FC Kopenhaga;1895
dk;FC Midtjylland;1877
dk;FC Nordsjaelland;1871
dk;Broendby IF;1846
ee;Levadia Tallinn;1228
ee;Paide Linnameeskond;1145
ee;Flora Tallinn;1128
fo;KI Klaksvik;1498
fo;Vikingur;1404
fo;HB Torshavn;1376
fi;Kuopio PS;1659
fi;HJK Helsinki;1598
ge;Torpedo Kutaisi;1497
ge;Dinamo Batumi;1457
ge;Dinamo Tbilisi;1380
gi;Lincoln Red Imps;1409
gi;St. Josephs FC;1231
gi;Europa FC;1080
gr;Olympiakos Pireus;1984
gr;AEK Ateny;1940
gr;PAOK Saloniki;1933
gr;Panathinaikos;1914
gr;Aris Saloniki;1797
hu;Ferencvaros TC;1878
hu;Puskas Akademia;1798
hu;Paksi SE;1746
is;Vikingur Reykjavik;1603
is;Breidablik;1528
is;Valur Reykjavik;1480
ie;Shamrock Rovers;1595
ie;St Patricks Athletic;1559
ie;Derry City;1493
il;Maccabi Tel Aviv;1860
il;Maccabi Hajfa;1820
il;Hapoel Beer Sheva;1761
kz;FK Astana;1608
kz;FK Kairat;1552
kz;FK Aktobe;1546
xk;KF Ballkani;1460
xk;Drita Gnjilane;1457
xk;FC Prishtina;1303
lv;FK RFS;1575
lv;Ryga FC;1533
lv;FK Auda;1291
lt;Zalgiris Wilno;1443
lt;FK Panevezys;1290
lt;Zalgiris Kaunas;1257
lu;FC Differdange;1463
lu;Swift Hesperange;1455
lu;F91 Dudelange;1399
mt;Hamrun Spartans;1417
mt;Floriana FC;1347
mt;Birkirkara FC;1286
md;Sheriff Tyraspol;1609
md;Petrocub Hincesti;1507
me;Buducnost Podgorica;1466
me;FK Decic Tuzi;1377
nl;PSV Eindhoven;2119
nl;Feyenoord;2070
nl;Ajax Amsterdam;1979
nl;AZ Alkmaar;1898
nl;FC Twente;1891
nl;FC Utrecht;1844
mk;KF Shkendija;1511
mk;FC Struga;1456
gb-nir;Linfield FC;1490
gb-nir;Larne FC;1440
no;FK Bodo/Glimt;1914
no;SK Brann;1821
no;Molde FK;1807
no;Rosenborg BK;1756
pl;Legia Warszawa;1818
pl;Rakow Czestochowa;1778
pl;Jagiellonia Bialystok;1773
pl;Lech Poznan;1772
pt;Sporting Lizbona;2146
pt;SL Benfica;2116
pt;FC Porto;2113
pt;SC Braga;1930
pt;Vitoria Guimaraes;1909
ro;FCSB;1843
ro;CFR Cluj;1813
ro;Rapid Bukareszt;1702
sm;SP La Fiorita;971
gb-sct;Celtic Glasgow;2054
gb-sct;Rangers;1958
gb-sct;Aberdeen FC;1703
gb-sct;Heart of Midlothian;1649
rs;Crvena Zvezda;1978
rs;Partizan Belgrad;1694
rs;Vojvodina;1625
rs;TSC Backa Topola;1614
sk;Slovan Bratislava;1769
sk;MSK Zilina;1703
sk;Spartak Trnava;1683
si;Olimpija Ljubljana;1720
si;NK Maribor;1661
si;NK Celje;1654
se;Malmo FF;1829
se;Hammarby IF;1803
se;IF Elfsborg;1796
se;Djurgardens IF;1786
ch;FC Lugano;1836
ch;Young Boys;1822
ch;Servette FC;1810
ch;FC Basel;1795
tr;Galatasaray;2028
tr;Fenerbahce;2019
tr;Besiktas;1819
tr;Basaksehir;1781
tr;Trabzonspor;1774
ua;Szachtar Donieck;1904
ua;Dynamo Kiev;1861
ua;SK Dnipro-1;1768
gb-wls;The New Saints;1508
